word,trans,example
dairy,"n.奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj.乳品的；牛奶的；牛奶制的；产乳的
","1. In my childhood, local dairies bought milk from local farmers.
在我小时候，本地的乳品公司向当地农场主收购牛奶。
2. He avoids all meat and dairy products.
他不吃任何肉类和奶制品。
"
mischief,"n.恶作剧；伤害；顽皮；不和
","1. Now run along, and don’t get into mischief .
好了，走开，不要捣乱。
2. They’ve got enough toys to keep them out of mischief for a while.
他们有足够的玩具玩，暂时不会捣蛋。
3. If you can’t see Nick, you can be sure he’s up to some mischief (= behaving badly and causing trouble or damage ) .
要是看不到尼克，就可以肯定他又在捣什么鬼了。
"
vacation,"n.假期；（房屋）搬出
v.休假，度假
","1. We’re planning a vacation in Europe.
我们正计划去欧洲度假。
2. We’re planning to go on vacation soon.
我们在计划近期去度假。
"
session,"n.会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
","1. Board members met in closed session (= with nobody else present ) .
委员会成员举行了闭门会议。
"
silence,"n.沉默；寂静；缄默；不谈；无声状态
v.使沉默；使安静；压制；消除噪音
int.安静！；别作声！
","1. There was a brief silence before anyone answered.
沉默了片刻才有人回答。
"
needle,"n.针；指针；刺激；针状物
v.缝纫；做针线
","1. She carried hypodermic needles and syringes in her bag.
她包里带着皮下注射针和针筒。
2. Drug users are at risk when they share needles.
吸毒者共用注射针很危险。
"
antique,"adj.古老的，年代久远的；过时的，古董的；古风的，古式的
n.古董，古玩；古风，古希腊和古罗马艺术风格
v.觅购古玩
","1. an antique rosewood desk
古董红木书桌
"
reservoir,"n.水库；蓄水池
","1. All these earthquakes happened when the water level in Zipingpu reservoir was low.
所有这些地震都发生在紫坪铺水库水位很低的时候。
"
benign,"adj.良性的；和蔼的，亲切的；吉利的
n.(Benign)人名；(俄)贝尼根
","1. He shook his head in benign amusement.
他被逗乐了，和蔼地摇了摇头。
"
volcano,"n.火山
","1. Pompeii was destroyed when the volcano erupted in 79 AD.
庞贝城于公元79年在火山爆发中毁灭。
"
stereotype,"v.使用铅版；套用老套，使一成不变
n.陈腔滥调，老套；铅版
",
fiction,"n.小说；虚构，编造；谎言
","1. romantic fiction
爱情小说
2. historical fiction
历史小说
"
rape,"n.强奸，掠夺；[园艺] 油菜；葡萄渣
v.强奸；掠夺，抢夺
","1. Police are investigating a series of violent rapes in the town.
警察在调查镇上发生的一连串暴力强奸案。
2. He was arrested and charged with rape.
他被捕并被控强奸。
3. He always denied that he was guilty of rape.
他一直否认自己犯有强奸罪。
4. a rape victim
遭强奸者
5. the gang rape of a 17-year-old girl
对一个17岁少女的轮奸
6. He was convicted of attempted rape .
他被判犯有强奸未遂罪。
"
movie,"n.电影；电影院；电影业
adj.电影的
","1. It was like one of those old John Wayne movies.
这部电影有点像约翰•韦恩演的一部老片子。
"
nourish,"v.滋养；怀有；使健壮
","1. The cream contains vitamin A to nourish the skin.
这种护肤霜含有滋养肌肤的维生素A。
2. a well nourished baby
营养良好的婴儿
"
pollution,"n.污染
","1. California’s tough anti-pollution laws
加利福尼亚州严厉的反污染法
"
prosperity,"n.繁荣，成功
","1. a time of economic prosperity
经济繁荣时期
"
diploma,"n.毕业证书，学位证书；公文，文书；奖状
vt.发给…毕业文凭
","1. I’m hoping to get my teaching diploma this year.
我希望今年能拿到教师证书。
"
cigar,"n.雪茄
","1. He was smoking a big cigar.
他在抽一只大雪茄。
"
improvement,"n.改进，改善；提高
","1. Our results have shown some improvement this month.
我们的成绩这个月有所提高。
"
square,"adj.平方的；正方形的；直角的；正直的
v.使成方形；与…一致
n.平方；广场；正方形
adv.成直角地
","1. a large square room
一个正方形的大房间
"
hike,"v.远足；徒步旅行；上升
n.远足；徒步旅行；涨价
","1. You could hike through the Fish River Canyon – it's entirely up to you.
你可以远足穿越菲什干河大峡谷–这全由你自己决定。
"
patch,"n.眼罩；斑点；碎片；小块土地
v.修补；解决；掩饰
","1. Look out for icy patches on the road.
小心路上结冰的地方。
2. a cat with a white patch on its chest
胸部有一块白斑的猫
3. He combs his hair over his bald patch .
他把头发梳过来盖住秃掉的地方。
"
midst,"n.当中，中间
prep.在…中间（等于amidst）
","1. I fear we have an enemy in our midst.
我担心我们中间有内奸。
"
physicist,"n.物理学家；唯物论者
","1. ...a nuclear physicist.
…一位核物理学家。
"
oriental,"adj.东方的；东方人的
n.东方人
","1. a beautiful oriental rug
漂亮的东方地毯
2. oriental art
东方艺术
"
envy,"n.嫉妒，妒忌；羡慕
v.嫉妒，妒忌；羡慕
","1. She could see that all the other girls were green with envy(= feeling a lot of envy ).
她看得出其他女孩都很眼红。
"
capsule,"n.胶囊；[植] 蒴果；太空舱；小容器
adj.压缩的；概要的
v.压缩；简述
","1. a space capsule orbiting the Earth
沿地球轨道飞行的太空舱
"
synthetic,"adj.综合的；合成的，人造的
n.合成物
","1. synthetic chemicals
合成化学品
"
fable,"n.寓言；无稽之谈
vi.编寓言；虚构
vt.煞有介事地讲述；虚构
","1. the fable of the fox and the crow
狐狸和乌鸦的寓言故事
"
correspondent,"n.通讯记者；客户；通信者；代理商行
","1. Our correspondent in South Africa sent this report.
我们的驻南非记者发来这份报道。
"
pretext,"n.借口；托辞
vt.以…为借口
","1. He’ll phone on some pretext or other.
他会以这样或那样的理由打电话的。
"
gentle,"adj.温和的；文雅的
v.使温和，使驯服
n.蛆，饵
","1. Arthur was a very gentle, caring person.
阿瑟是一个非常温柔体贴的人。
"
postpone,"v.使…延期；把…放在次要地位；把…放在后面
","1. The match had to be postponed until next week.
比赛不得不推迟到下周举行。
"
january,"n.一月
","1. We always have snow in January.
我们这里1月份总会下雪。
"
proceed,"v.开始；继续进行；发生；行进
n.收入，获利
","1. Before proceeding further, we must define our terms.
我们必须先定义术语，然后再往下展开。
2. The proceeds of the concert went to charity.
音乐会的收入给了慈善机构。
"
mutton,"n.羊肉
","1. ...a leg of mutton.
…一条羊腿。
"
occupation,"n.职业；占有；消遣；占有期
","1. Please state your name, address and occupation.
请写明你的姓名、地址和职业。
2. professional and managerial occupations
专业及管理工作
3. manual occupations
体力工作
"
